##Sandbox_CDDA_KeepStandBrute_tooltip::en = "",
##Sandbox_CDDA_KeepStandHulk_tooltip::en = "",
##Sandbox_CDDA_KeepStandSheriff_tooltip::en = "",
##Sandbox_CDDA_KeepStandShockerBeast_tooltip::en = "",
##Sandbox_CDDA_KeepStandWresller_tooltip::en = "",
IGUI_CDDA_MasterZ::fr::processed::unverified = "Master Z",
IGUI_CDDA_NameTag::en = "Show Zombie Type",
IGUI_CDDA_NameTag::fr::processed::unverified = "Afficher le type de zombie",
IGUI_CDDA_NameTag_Tooltip::en = "Show the type of zombie that player is aiming at",
IGUI_CDDA_NameTag_Tooltip::fr::processed::unverified = "Afficher le type de zombie que le joueur vise",
IGUI_CDDA_NightmareZ::en = "",
IGUI_CDDA_NormalZ::en = "Zombie",
IGUI_CDDA_NormalZ::fr::processed::unverified = "Zombie",
IGUI_CDDA_ObeseZ::en = "",
IGUI_CDDA_PredatorZ::en = "",
IGUI_CDDA_RunnerZ::en = "Feral Z",
IGUI_CDDA_RunnerZ::fr::processed::unverified = "Z Féral",
IGUI_CDDA_ScreamerZ::en = "Shrieker Z",
IGUI_CDDA_ScreamerZ::fr::processed::unverified = "Shrieker Z",
IGUI_CDDA_ScreecherZ::en = "Screecher Z",
IGUI_CDDA_ScreecherZ::fr::processed::unverified = "Screecher Z",
IGUI_CDDA_ShockerBeastZ::en = "",
IGUI_CDDA_ShockerZ::en = "Shocker Z",
IGUI_CDDA_ShockerZ::fr::processed::unverified = "Shocker Z",
IGUI_CDDA_SkeletalJuggernautZ::en = "",
IGUI_CDDA_SkeletonRunnerZ::en = "Skeleton Feral",
IGUI_CDDA_SkeletonRunnerZ::fr::processed::unverified = "Squelette Féral",
IGUI_CDDA_SkeletonZ::en = "Skeleton",
IGUI_CDDA_SkeletonZ::fr::processed::unverified = "Squelette",
IGUI_CDDA_SoldierZ::en = "Soldier Z",
IGUI_CDDA_SoldierZ::fr::processed::unverified = "Soldat Z",
IGUI_CDDA_StrongZ::en = "Tough Z",
IGUI_CDDA_StrongZ::fr::processed::unverified = "Z Coriace",
IGUI_CDDA_SurvivorZ::en = "Survivor Z",
IGUI_CDDA_SurvivorZ::fr::processed::unverified = "Survivant Z",
IGUI_CDDA_TextHeight::en = "NameTag Height",
IGUI_CDDA_TextHeight::fr::processed::unverified = "Hauteur du NameTag",
IGUI_CDDA_TextHeight1::en = "Overhead",
IGUI_CDDA_TextHeight1::fr::processed::unverified = "Au-dessus",
IGUI_CDDA_TextHeight2::en = "On Body",
IGUI_CDDA_TextHeight2::fr::processed::unverified = "Sur le corps",
IGUI_CDDA_TextHeight3::en = "Underfoot",
IGUI_CDDA_TextHeight3::fr::processed::unverified = "Sous les pieds",
IGUI_CDDA_TextHeight_Tooltip::en = "Set the height of Zombies' NameTag",
IGUI_CDDA_TextHeight_Tooltip::fr::processed::unverified = "Définir la hauteur du NameTag des zombies",
IGUI_CDDA_ToughZ::en = "",
IGUI_CDDA_UIAIM::en = "",
IGUI_CDDA_UIAIM_Tooltip::en = "",
IGUI_CDDA_UIFONT::en = "",
IGUI_CDDA_UIFONT1::en = "",
IGUI_CDDA_UIFONT10::en = "",
IGUI_CDDA_UIFONT11::en = "",
IGUI_CDDA_UIFONT12::en = "",
IGUI_CDDA_UIFONT13::en = "",
IGUI_CDDA_UIFONT14::en = "",
IGUI_CDDA_UIFONT15::en = "",
IGUI_CDDA_UIFONT16::en = "",
IGUI_CDDA_UIFONT17::en = "",
IGUI_CDDA_UIFONT18::en = "",
IGUI_CDDA_UIFONT19::en = "",
IGUI_CDDA_UIFONT2::en = "",
IGUI_CDDA_UIFONT20::en = "",
IGUI_CDDA_UIFONT21::en = "",
IGUI_CDDA_UIFONT3::en = "",
IGUI_CDDA_UIFONT4::en = "",
IGUI_CDDA_UIFONT5::en = "",
IGUI_CDDA_UIFONT6::en = "",
IGUI_CDDA_UIFONT7::en = "",
IGUI_CDDA_UIFONT8::en = "",
IGUI_CDDA_UIFONT9::en = "",
IGUI_CDDA_UIFONT_Tooltip::en = "",
IGUI_CDDA_UITIMER::en = "",
IGUI_CDDA_UITIMER1::en = "",
IGUI_CDDA_UITIMER10::en = "",
IGUI_CDDA_UITIMER11::en = "",
IGUI_CDDA_UITIMER12::en = "",
IGUI_CDDA_UITIMER13::en = "",
IGUI_CDDA_UITIMER14::en = "",
IGUI_CDDA_UITIMER15::en = "",
IGUI_CDDA_UITIMER16::en = "",
IGUI_CDDA_UITIMER17::en = "",
IGUI_CDDA_UITIMER18::en = "",
IGUI_CDDA_UITIMER19::en = "",
IGUI_CDDA_UITIMER2::en = "",
IGUI_CDDA_UITIMER20::en = "",
IGUI_CDDA_UITIMER3::en = "",
IGUI_CDDA_UITIMER4::en = "",
IGUI_CDDA_UITIMER5::en = "",
IGUI_CDDA_UITIMER6::en = "",
IGUI_CDDA_UITIMER7::en = "",
IGUI_CDDA_UITIMER8::en = "",
IGUI_CDDA_UITIMER9::en = "",
IGUI_CDDA_UITIMER_Tooltip::en = "",
IGUI_CDDA_WitchZ::en = "Necromancer Z",
IGUI_CDDA_WitchZ::fr::processed::unverified = "Z Nécromant",
IGUI_CDDA_WrestlerZ::en = "Wrestler Z",
IGUI_CDDA_WrestlerZ::fr::processed::unverified = "Z Catcheur",
Sandbox_CDDA_ALERT::en = "",
Sandbox_CDDA_ALERT_tooltip::en = "",
Sandbox_CDDA_BiterZ::en = "Slavering Biter Spawn Rate",
Sandbox_CDDA_BiterZ::fr::processed::unverified = "Taux d'apparition du Mordeur baveux",
Sandbox_CDDA_BiterZ_tooltip::en = "Speed: Normal HP: Normal (Can transmit zombie virus)",
Sandbox_CDDA_BiterZ_tooltip::fr::processed::unverified = "Vitesse : Normale PV : Normaux (Peut transmettre le virus zombie)",
Sandbox_CDDA_BoomerZ::en = "",
Sandbox_CDDA_BoomerZ_tooltip::en = "",
Sandbox_CDDA_BruteZ::en = "Brute Z Spawn Rate",
Sandbox_CDDA_BruteZ::fr::processed::unverified = "Taux d'apparition du Brute Z",
Sandbox_CDDA_BruteZ_tooltip::en = "Speed: Fast HP: Hign (Can push player when attacking)",
Sandbox_CDDA_BruteZ_tooltip::fr::processed::unverified = "Vitesse : Rapide PV : Élevés (Peut repousser le joueur en attaquant)",
Sandbox_CDDA_BulletImmune::en = "",
Sandbox_CDDA_BulletImmune_tooltip::en = "",
Sandbox_CDDA_Burner::en = "",
Sandbox_CDDA_Burner_tooltip::en = "",
Sandbox_CDDA_CDDAReqFitness::en = "",
Sandbox_CDDA_CDDAReqFitness_tooltip::en = "",
Sandbox_CDDA_CDDAReqNimble::en = "",
Sandbox_CDDA_CDDAReqNimble_tooltip::en = "",
Sandbox_CDDA_CDDAReqShortBlunt::en = "",
Sandbox_CDDA_CDDAReqShortBlunt_tooltip::en = "",
Sandbox_CDDA_CDDAReqStrength::en = "",
Sandbox_CDDA_CDDAReqStrength_tooltip::en = "",
Sandbox_CDDA_CDDATraitKills::en = "",
Sandbox_CDDA_CDDATraitKills_tooltip::en = "",
Sandbox_CDDA_CDDA_CanBullets_option1::en = "",
Sandbox_CDDA_CDDA_CanBullets_option2::en = "",
Sandbox_CDDA_CDDA_CanBullets_option3::en = "",
Sandbox_CDDA_CDDA_EnumBrute_option1::en = "",
Sandbox_CDDA_CDDA_EnumBrute_option2::en = "",
Sandbox_CDDA_CDDA_EnumBrute_option3::en = "",
Sandbox_CDDA_CDDA_EnumPush_option1::en = "",
Sandbox_CDDA_CDDA_EnumPush_option2::en = "",
Sandbox_CDDA_CDDA_EnumPush_option3::en = "",
Sandbox_CDDA_CanBite::en = "",
Sandbox_CDDA_CanBoomer::en = "",
Sandbox_CDDA_CanBoomer2::en = "",
Sandbox_CDDA_CanBullets::en = "",
Sandbox_CDDA_CanBullets_tooltip::en = "",
Sandbox_CDDA_CanBurner::en = "",
Sandbox_CDDA_CanChild::en = "",
Sandbox_CDDA_CanDecayed::en = "",
Sandbox_CDDA_CanFire::en = "",
Sandbox_CDDA_CanGrab::en = "",
Sandbox_CDDA_CanHulk::en = "",
Sandbox_CDDA_CanNightmare::en = "",
Sandbox_CDDA_CanOpenDoor::en = "",
Sandbox_CDDA_CanRadioactif::en = "",
Sandbox_CDDA_CanRadioactif2::en = "",
Sandbox_CDDA_CanRevive::en = "",
Sandbox_CDDA_CanScreach::en = "",
Sandbox_CDDA_CanScream::en = "",
Sandbox_CDDA_CanShock::en = "",
Sandbox_CDDA_CanShock2::en = "",
Sandbox_CDDA_ChangeOutfits::en = "",
Sandbox_CDDA_ChangeOutfits_tooltip::en = "",
Sandbox_CDDA_ChildSpawn::en = "",
Sandbox_CDDA_CopSpawn::en = "",
Sandbox_CDDA_CrawlerZ::en = "Crawler Z Spawn Rate",
Sandbox_CDDA_CrawlerZ::fr::processed::unverified = "Taux d'apparition du Zombie Rampeur",
Sandbox_CDDA_CrawlerZ_tooltip::en = "Speed: Very Low HP: Normal",
Sandbox_CDDA_CrawlerZ_tooltip::fr::processed::unverified = "Vitesse : Très faible PV : Normal",
Sandbox_CDDA_DecayedZ::en = "Decayed Z Spawn Rate",
Sandbox_CDDA_DecayedZ::fr::processed::unverified = "Taux d'apparition du Zombie Putréfié",
Sandbox_CDDA_DecayedZ_tooltip::en = "Speed: Slow HP: Normal",
Sandbox_CDDA_DecayedZ_tooltip::fr::processed::unverified = "Vitesse : Lente PV : Normal",
Sandbox_CDDA_EnablePerkCDDA::en = "",
Sandbox_CDDA_EnablePerkCDDA_tooltip::en = "",
Sandbox_CDDA_EnumBrute::en = "",
Sandbox_CDDA_EnumPush::en = "",
Sandbox_CDDA_EvoFactor::en = "Zombie evolve factor",
Sandbox_CDDA_EvoFactor::fr::processed::unverified = "Facteur d'évolution des zombies",
Sandbox_CDDA_EvoFactor_tooltip::en = "The bigger this value is set, the faster zombies will evolve, set this to 0 for no evolving",
Sandbox_CDDA_EvoFactor_tooltip::fr::processed::unverified = "Plus cette valeur est élevée, plus les zombies évoluent rapidement. Mettez-la à 0 pour désactiver l'évolution.",
Sandbox_CDDA_FatZ::en = "Fat Z Spawn Rate",
Sandbox_CDDA_FatZ::fr::processed::unverified = "Taux d'apparition du Zombie Obèse",
Sandbox_CDDA_FatZ_tooltip::en = "Speed: Slow HP: High",
Sandbox_CDDA_FatZ_tooltip::fr::processed::unverified = "Vitesse : Lente PV : Élevé",
Sandbox_CDDA_FireFighterSpawn::en = "",
Sandbox_CDDA_GrabberZ::en = "Grabber Z Spawn Rate",
Sandbox_CDDA_GrabberZ::fr::processed::unverified = "Taux d'apparition du Zombie Attrapeur",
Sandbox_CDDA_GrabberZ_tooltip::en = "Speed: Normal HP: Normal (Can grab player)",
Sandbox_CDDA_GrabberZ_tooltip::fr::processed::unverified = "Vitesse : Normale PV : Normal (Peut attraper le joueur)",
Sandbox_CDDA_HPBonus::en = "",
Sandbox_CDDA_HPBonus_tooltip::en = "",
Sandbox_CDDA_HazmatSpawn::en = "",
Sandbox_CDDA_HulkSpawn::en = "",
Sandbox_CDDA_JuggernautSpawn::en = "",
Sandbox_CDDA_KeepStand::en = "",
Sandbox_CDDA_KeepStandBiter::en = "",
Sandbox_CDDA_KeepStandBoomer::en = "",
Sandbox_CDDA_KeepStandBrute::en = "",
Sandbox_CDDA_KeepStandBurner::en = "",
Sandbox_CDDA_KeepStandChild::en = "",
Sandbox_CDDA_KeepStandCop::en = "",
Sandbox_CDDA_KeepStandCrawler::en = "",
Sandbox_CDDA_KeepStandDecayed::en = "",
Sandbox_CDDA_KeepStandFat::en = "",
Sandbox_CDDA_KeepStandFeral::en = "",
Sandbox_CDDA_KeepStandFeralSkeleton::en = "",
Sandbox_CDDA_KeepStandFireFighter::en = "",
Sandbox_CDDA_KeepStandGrabber::en = "",
Sandbox_CDDA_KeepStandHazmat::en = "",
Sandbox_CDDA_KeepStandHulk::en = "",
Sandbox_CDDA_KeepStandJuggernut::en = "",
Sandbox_CDDA_KeepStandListener::en = "",
Sandbox_CDDA_KeepStandMaster::en = "",
Sandbox_CDDA_KeepStandNecromancer::en = "",
Sandbox_CDDA_KeepStandNightmare::en = "",
Sandbox_CDDA_KeepStandNormal::en = "",
Sandbox_CDDA_KeepStandObese::en = "",
Sandbox_CDDA_KeepStandPredator::en = "",
Sandbox_CDDA_KeepStandSWAT::en = "",
Sandbox_CDDA_KeepStandScreamer::en = "",
Sandbox_CDDA_KeepStandScreecher::en = "",
Sandbox_CDDA_KeepStandSheriff::en = "",
Sandbox_CDDA_KeepStandShocker::en = "",
Sandbox_CDDA_KeepStandShockerBeast::en = "",
Sandbox_CDDA_KeepStandSkeletalJuggernut::en = "",
Sandbox_CDDA_KeepStandSkeleton::en = "",
Sandbox_CDDA_KeepStandSoldier::en = "",
Sandbox_CDDA_KeepStandSurvivor::en = "",
Sandbox_CDDA_KeepStandTough::en = "",
Sandbox_CDDA_KeepStandWresller::en = "",
Sandbox_CDDA_KeepStand_tooltip::en = "",
Sandbox_CDDA_ListenerZ::en = "Listener Z Spawn Rate",
Sandbox_CDDA_ListenerZ::fr::processed::unverified = "Taux d'apparition des zombies Listener Z",
Sandbox_CDDA_ListenerZ_tooltip::en = "Speed: Normal HP: Normal (Poor sight but sensitive ears)",
Sandbox_CDDA_ListenerZ_tooltip::fr::processed::unverified = "Vitesse : Normale, PV : Normaux (Mauvaise vue mais oreilles sensibles)",
Sandbox_CDDA_MasterZ::en = "Master Z Spawn Rate",
Sandbox_CDDA_MasterZ::fr::processed::unverified = "Taux d'apparition des zombies Master Z",
Sandbox_CDDA_MasterZ_tooltip::en = "Speed: Slow HP: Normal (Can evolve nearby zombies)",
Sandbox_CDDA_MasterZ_tooltip::fr::processed::unverified = "Vitesse : Lente, PV : Normaux (Peut faire évoluer les zombies à proximité)",
Sandbox_CDDA_NameTag::en = "",
Sandbox_CDDA_NameTag_tooltip::en = "",
Sandbox_CDDA_NecromancerZ::en = "",
Sandbox_CDDA_NecromancerZ_tooltip::en = "",
Sandbox_CDDA_Nightmare::en = "",
Sandbox_CDDA_Nightmare_tooltip::en = "",
Sandbox_CDDA_NoBrute::en = "",
Sandbox_CDDA_NoBrute_tooltip::en = "",
Sandbox_CDDA_NormalZ::en = "Normal Z Spawn Rate",
Sandbox_CDDA_NormalZ::fr::processed::unverified = "Taux d'apparition des zombies normaux",
Sandbox_CDDA_NormalZ_tooltip::en = "Speed: Normal HP: Normal",
Sandbox_CDDA_NormalZ_tooltip::fr::processed::unverified = "Vitesse : Normale, PV : Normaux",
Sandbox_CDDA_ObeseSpawn::en = "",
Sandbox_CDDA_OutfitZ::en = "Spawn zombies based on outfits",
Sandbox_CDDA_OutfitZ::fr::processed::unverified = "Faire apparaître des zombies en fonction des tenues",
Sandbox_CDDA_OutfitZ_tooltip::en = "Create zombie types with specific outfits (e.g. Cop, Firefighter, Soldier, Hazmat and Child)",
Sandbox_CDDA_OutfitZ_tooltip::fr::processed::unverified = "Crée des types de zombies avec des tenues spécifiques (ex. Policier, Pompier, Soldat, Hazmat et Enfant)",
Sandbox_CDDA_Predator::en = "",
Sandbox_CDDA_PredatorScream::en = "",
Sandbox_CDDA_PredatorSpawn::en = "",
Sandbox_CDDA_RunnerZ::en = "Feral Z Spawn Rate",
Sandbox_CDDA_RunnerZ::fr::processed::unverified = "Taux d'apparition des zombies Feral Z",
Sandbox_CDDA_RunnerZ_tooltip::en = "Speed: Fast, HP: Normal",
Sandbox_CDDA_RunnerZ_tooltip::fr::processed::unverified = "Vitesse : Rapide, PV : Normal",
Sandbox_CDDA_SandBox::en = "Override sandbox settings for zombies",
Sandbox_CDDA_SandBox::fr::processed::unverified = "Remplacer les paramètres sandbox pour les zombies",
Sandbox_CDDA_SandBox_tooltip::en = "Force to use CDDA default zombie settings, if canceled, sandbox settings for zombies will be used (Some kind of zombies will disappear!)",
Sandbox_CDDA_SandBox_tooltip::fr::processed::unverified = "Forcer l'utilisation des paramètres zombies par défaut de CDDA, si annulé, les paramètres sandbox pour les zombies seront utilisés (Certains types de zombies disparaîtront !)",
Sandbox_CDDA_ScreamerZ::en = "Shrieker Z Spawn Rate",
Sandbox_CDDA_ScreamerZ::fr::processed::unverified = "Taux d'apparition du Shrieker Z",
Sandbox_CDDA_ScreamerZ_tooltip::en = "Speed: Normal HP: Normal (Can scream when following target)",
Sandbox_CDDA_ScreamerZ_tooltip::fr::processed::unverified = "Vitesse : Normale PV : Normal (Peut crier lorsqu'il suit une cible)",
Sandbox_CDDA_ScreecherZ::en = "Shocker Z Spawn Rate",
Sandbox_CDDA_ScreecherZ::fr::processed::unverified = "Taux d'apparition du Shocker Z",
Sandbox_CDDA_ScreecherZ_tooltip::en = "Speed: Normal HP: Normal (Can scream louder and cause panic)",
Sandbox_CDDA_ScreecherZ_tooltip::fr::processed::unverified = "Vitesse : Normale PV : Normal (Peut crier plus fort et provoquer la panique)",
Sandbox_CDDA_SheriffSpawn::en = "",
Sandbox_CDDA_ShockerBeast::en = "",
Sandbox_CDDA_ShockerBeast_tooltip::en = "",
Sandbox_CDDA_ShockerZ::en = "Shocker Z Spawn Rate",
Sandbox_CDDA_ShockerZ::fr::processed::unverified = "Taux d'apparition du Shocker Z",
Sandbox_CDDA_ShockerZ_tooltip::en = "Speed: Normal HP: Normal (Can attack player in a distance by electric shock)",
Sandbox_CDDA_ShockerZ_tooltip::fr::processed::unverified = "Vitesse : Normale PV : Normal (Peut attaquer le joueur à distance par choc électrique)",
Sandbox_CDDA_Sickness::en = "",
Sandbox_CDDA_Sickness_tooltip::en = "",
Sandbox_CDDA_SkeletalJuggernautSpawn::en = "",
Sandbox_CDDA_SkeletonRunnerZ::en = "Skeleton Feral Spawn Rate",
Sandbox_CDDA_SkeletonRunnerZ::fr::processed::unverified = "Taux d'apparition du Skeleton Feral",
Sandbox_CDDA_SkeletonRunnerZ_tooltip::en = "Speed: Fast HP: Low",
Sandbox_CDDA_SkeletonRunnerZ_tooltip::fr::processed::unverified = "Vitesse : Rapide PV : Faible",
Sandbox_CDDA_SkeletonZ::en = "Skeleton Spawn Rate",
Sandbox_CDDA_SkeletonZ::fr::processed::unverified = "Taux d'apparition du Skeleton",
Sandbox_CDDA_SkeletonZ _tooltip::en = "Speed: Normal HP: Low",
Sandbox_CDDA_SkeletonZ _tooltip::fr::processed::unverified = "Vitesse : Normale PV : Faible",
Sandbox_CDDA_SkeletonZ_tooltip::en = "",
Sandbox_CDDA_SoldierSpawn::en = "",
Sandbox_CDDA_StrongZ::en = "Tough Z Spawn Rate",
Sandbox_CDDA_StrongZ::fr::processed::unverified = "Taux d'apparition du Tough Z",
Sandbox_CDDA_StrongZ_tooltip::en = "Speed: Normal HP: High",
Sandbox_CDDA_StrongZ_tooltip::fr::processed::unverified = "Vitesse : Normale PV : Élevé",
Sandbox_CDDA_SurvivorSpawn::en = "",
Sandbox_CDDA_SurvivorZ::en = "Survivor Z Spawn Rate",
Sandbox_CDDA_SurvivorZ::fr::processed::unverified = "Taux d'apparition du Survivor Z",
Sandbox_CDDA_SurvivorZ_tooltip::en = "Speed: Normal HP: Normal (High cognition)",
Sandbox_CDDA_SurvivorZ_tooltip::fr::processed::unverified = "Vitesse : Normale PV : Normal (Haute cognition)",
Sandbox_CDDA_SwatSpawn::en = "",
Sandbox_CDDA_ToughZ::en = "",
Sandbox_CDDA_ToughZ_tooltip::en = "",
Sandbox_CDDA_UpdateZombieTag::en = "",
Sandbox_CDDA_UpdateZombieTag_tooltip::en = "",
Sandbox_CDDA_WitchZ::en = "Necromancer Z Spawn Rate",
Sandbox_CDDA_WitchZ::fr::processed::unverified = "Taux d'apparition du Zombie Nécromancien",
Sandbox_CDDA_WitchZ_tooltip::en = "Speed: Slow HP: Normal (Can reanimate nearby corpses)",
Sandbox_CDDA_WitchZ_tooltip::fr::processed::unverified = "Vitesse : Lente PV : Normale (Peut réanimer les corps à proximité)",
Sandbox_CDDA_WrestlerZ::en = "Wrestler Z Spawn Rate",
Sandbox_CDDA_WrestlerZ::fr::processed::unverified = "Taux d'apparition du Zombie Catcheur",
Sandbox_CDDA_WrestlerZ_tooltip::en = "Speed: Normal HP: Hign (Can push player when attacking)",
Sandbox_CDDA_WrestlerZ_tooltip::fr::processed::unverified = "Vitesse : Normale PV : Élevée (Peut repousser le joueur en attaquant)",
Sandbox_CDDA_ZombieForAll::en = "",
Sandbox_CDDA_ZombieForAll_tooltip::en = "",
Sandbox_CDDA_Zombies::en = "CDDA Zombies' Spawn Rate",
Sandbox_CDDA_Zombies::fr::processed::unverified = "Taux d'apparition des Zombies CDDA",
Sandbox_CDDA_ZombiesFunc::en = "",
Sandbox_CDDA_ZombiesFunc2::en = "",
Sandbox_CDDA_ZombiesFunc3::en = "",
Sandbox_CDDA_ZombiesFunc4::en = "",
Sandbox_CDDA_ZombiesFunc5::en = "",
Sandbox_CDDA_ZombiesFunc6::en = "",
Sandbox_CDDA_sandBoxOptionMOMAAverage::en = "",
Sandbox_CDDA_sandBoxOptionMOMAAverageMaxDamage::en = "",
Sandbox_CDDA_sandBoxOptionMOMAAverageMinDamage::en = "",
Sandbox_CDDA_sandBoxOptionMOMACanHurt::en = "",
Sandbox_CDDA_sandBoxOptionMOMACanHurt_tooltip::en = "",
Sandbox_CDDA_sandBoxOptionMOMACanSay::en = "",
Sandbox_CDDA_sandBoxOptionMOMACanSay_tooltip::en = "",
Sandbox_CDDA_sandBoxOptionMOMADoor::en = "",
Sandbox_CDDA_sandBoxOptionMOMAMaxDamage::en = "",
Sandbox_CDDA_sandBoxOptionMOMAMinDamage::en = "",
Sandbox_CDDA_sandBoxOptionMOMATree::en = "",
UI_trait_CDDA::en = "",
UI_trait_CDDAGained::en = "",
UI_trait_CDDARadioactive::en = "",
UI_trait_CDDAdesc::en = "",
