##Sandbox_CDDA_KeepStandBrute_tooltip::en = "",
##Sandbox_CDDA_KeepStandHulk_tooltip::en = "",
##Sandbox_CDDA_KeepStandSheriff_tooltip::en = "",
##Sandbox_CDDA_KeepStandShockerBeast_tooltip::en = "",
##Sandbox_CDDA_KeepStandWresller_tooltip::en = "",
IGUI_CDDA_ListenerZ::zh-hans::processed::unverified = "循声者丧尸",
IGUI_CDDA_MasterZ::en = "Master Z",
IGUI_CDDA_MasterZ::zh-hans::processed::unverified = "主宰丧尸",
IGUI_CDDA_NameTag::en = "Show Zombie Type",
IGUI_CDDA_NameTag::zh-hans::processed::unverified = "显示丧尸种类",
IGUI_CDDA_NameTag_Tooltip::en = "Show the type of zombie that player is aiming at",
IGUI_CDDA_NameTag_Tooltip::zh-hans::processed::unverified = "显示玩家瞄准的丧尸种类",
IGUI_CDDA_NightmareZ::en = "",
IGUI_CDDA_NormalZ::en = "Zombie",
IGUI_CDDA_NormalZ::zh-hans::processed::unverified = "丧尸",
IGUI_CDDA_ObeseZ::en = "",
IGUI_CDDA_PredatorZ::en = "",
IGUI_CDDA_RunnerZ::en = "Feral Z",
IGUI_CDDA_RunnerZ::zh-hans::processed::unverified = "野性追猎者",
IGUI_CDDA_ScreamerZ::en = "Shrieker Z",
IGUI_CDDA_ScreamerZ::zh-hans::processed::unverified = "尖叫丧尸",
IGUI_CDDA_ScreecherZ::en = "Screecher Z",
IGUI_CDDA_ScreecherZ::zh-hans::processed::unverified = "尖啸丧尸",
IGUI_CDDA_ShockerBeastZ::en = "",
IGUI_CDDA_ShockerZ::en = "Shocker Z",
IGUI_CDDA_ShockerZ::zh-hans::processed::unverified = "放电丧尸",
IGUI_CDDA_SkeletalJuggernautZ::en = "",
IGUI_CDDA_SkeletonRunnerZ::en = "Skeleton Feral",
IGUI_CDDA_SkeletonRunnerZ::zh-hans::processed::unverified = "骷髅追猎者",
IGUI_CDDA_SkeletonZ::en = "Skeleton",
IGUI_CDDA_SkeletonZ::zh-hans::processed::unverified = "骷髅",
IGUI_CDDA_SoldierZ::en = "Soldier Z",
IGUI_CDDA_SoldierZ::zh-hans::processed::unverified = "士兵丧尸",
IGUI_CDDA_StrongZ::en = "Tough Z",
IGUI_CDDA_StrongZ::zh-hans::processed::unverified = "健壮丧尸",
IGUI_CDDA_SurvivorZ::en = "Survivor Z",
IGUI_CDDA_SurvivorZ::zh-hans::processed::unverified = "幸存者丧尸",
IGUI_CDDA_TextHeight::en = "NameTag Height",
IGUI_CDDA_TextHeight::zh-hans::processed::unverified = "丧尸名称显示位置",
IGUI_CDDA_TextHeight1::en = "Overhead",
IGUI_CDDA_TextHeight1::zh-hans::processed::unverified = "头顶",
IGUI_CDDA_TextHeight2::en = "On Body",
IGUI_CDDA_TextHeight2::zh-hans::processed::unverified = "身上",
IGUI_CDDA_TextHeight3::en = "Underfoot",
IGUI_CDDA_TextHeight3::zh-hans::processed::unverified = "脚下",
IGUI_CDDA_TextHeight_Tooltip::en = "Set the height of Zombies' NameTag",
IGUI_CDDA_TextHeight_Tooltip::zh-hans::processed::unverified = "设置丧尸名称的显示位置",
IGUI_CDDA_ToughZ::en = "",
IGUI_CDDA_UIAIM::en = "",
IGUI_CDDA_UIAIM_Tooltip::en = "",
IGUI_CDDA_UIFONT::en = "",
IGUI_CDDA_UIFONT1::en = "",
IGUI_CDDA_UIFONT10::en = "",
IGUI_CDDA_UIFONT11::en = "",
IGUI_CDDA_UIFONT12::en = "",
IGUI_CDDA_UIFONT13::en = "",
IGUI_CDDA_UIFONT14::en = "",
IGUI_CDDA_UIFONT15::en = "",
IGUI_CDDA_UIFONT16::en = "",
IGUI_CDDA_UIFONT17::en = "",
IGUI_CDDA_UIFONT18::en = "",
IGUI_CDDA_UIFONT19::en = "",
IGUI_CDDA_UIFONT2::en = "",
IGUI_CDDA_UIFONT20::en = "",
IGUI_CDDA_UIFONT21::en = "",
IGUI_CDDA_UIFONT3::en = "",
IGUI_CDDA_UIFONT4::en = "",
IGUI_CDDA_UIFONT5::en = "",
IGUI_CDDA_UIFONT6::en = "",
IGUI_CDDA_UIFONT7::en = "",
IGUI_CDDA_UIFONT8::en = "",
IGUI_CDDA_UIFONT9::en = "",
IGUI_CDDA_UIFONT_Tooltip::en = "",
IGUI_CDDA_UITIMER::en = "",
IGUI_CDDA_UITIMER1::en = "",
IGUI_CDDA_UITIMER10::en = "",
IGUI_CDDA_UITIMER11::en = "",
IGUI_CDDA_UITIMER12::en = "",
IGUI_CDDA_UITIMER13::en = "",
IGUI_CDDA_UITIMER14::en = "",
IGUI_CDDA_UITIMER15::en = "",
IGUI_CDDA_UITIMER16::en = "",
IGUI_CDDA_UITIMER17::en = "",
IGUI_CDDA_UITIMER18::en = "",
IGUI_CDDA_UITIMER19::en = "",
IGUI_CDDA_UITIMER2::en = "",
IGUI_CDDA_UITIMER20::en = "",
IGUI_CDDA_UITIMER3::en = "",
IGUI_CDDA_UITIMER4::en = "",
IGUI_CDDA_UITIMER5::en = "",
IGUI_CDDA_UITIMER6::en = "",
IGUI_CDDA_UITIMER7::en = "",
IGUI_CDDA_UITIMER8::en = "",
IGUI_CDDA_UITIMER9::en = "",
IGUI_CDDA_UITIMER_Tooltip::en = "",
IGUI_CDDA_WitchZ::en = "Necromancer Z",
IGUI_CDDA_WitchZ::zh-hans::processed::unverified = "死灵法尸",
IGUI_CDDA_WrestlerZ::en = "Wrestler Z",
IGUI_CDDA_WrestlerZ::zh-hans::processed::unverified = "摔跤手丧尸",
Sandbox_CDDA_ALERT::en = "",
Sandbox_CDDA_ALERT_tooltip::en = "",
Sandbox_CDDA_BiterZ::en = "Slavering Biter Spawn Rate",
Sandbox_CDDA_BiterZ::zh-hans::processed::unverified = "流涎啃噬者生成率",
Sandbox_CDDA_BiterZ_tooltip::en = "Speed: Normal HP: Normal (Can transmit zombie virus)",
Sandbox_CDDA_BiterZ_tooltip::zh-hans::processed::unverified = "速度：行走, HP: 普通 (可传播丧尸病毒)",
Sandbox_CDDA_BoomerZ::en = "",
Sandbox_CDDA_BoomerZ_tooltip::en = "",
Sandbox_CDDA_BruteZ::en = "Brute Z Spawn Rate",
Sandbox_CDDA_BruteZ::zh-hans::processed::unverified = "狂暴丧尸兽生成率",
Sandbox_CDDA_BruteZ_tooltip::en = "Speed: Fast HP: Hign (Can push player when attacking)",
Sandbox_CDDA_BruteZ_tooltip::zh-hans::processed::unverified = "速度：奔跑, HP: 高 (攻击时会推击玩家)",
Sandbox_CDDA_BulletImmune::en = "",
Sandbox_CDDA_BulletImmune_tooltip::en = "",
Sandbox_CDDA_Burner::en = "",
Sandbox_CDDA_Burner_tooltip::en = "",
Sandbox_CDDA_CDDAReqFitness::en = "",
Sandbox_CDDA_CDDAReqFitness_tooltip::en = "",
Sandbox_CDDA_CDDAReqNimble::en = "",
Sandbox_CDDA_CDDAReqNimble_tooltip::en = "",
Sandbox_CDDA_CDDAReqShortBlunt::en = "",
Sandbox_CDDA_CDDAReqShortBlunt_tooltip::en = "",
Sandbox_CDDA_CDDAReqStrength::en = "",
Sandbox_CDDA_CDDAReqStrength_tooltip::en = "",
Sandbox_CDDA_CDDATraitKills::en = "",
Sandbox_CDDA_CDDATraitKills_tooltip::en = "",
Sandbox_CDDA_CDDA_CanBullets_option1::en = "",
Sandbox_CDDA_CDDA_CanBullets_option2::en = "",
Sandbox_CDDA_CDDA_CanBullets_option3::en = "",
Sandbox_CDDA_CDDA_EnumBrute_option1::en = "",
Sandbox_CDDA_CDDA_EnumBrute_option2::en = "",
Sandbox_CDDA_CDDA_EnumBrute_option3::en = "",
Sandbox_CDDA_CDDA_EnumPush_option1::en = "",
Sandbox_CDDA_CDDA_EnumPush_option2::en = "",
Sandbox_CDDA_CDDA_EnumPush_option3::en = "",
Sandbox_CDDA_CanBite::en = "",
Sandbox_CDDA_CanBoomer::en = "",
Sandbox_CDDA_CanBoomer2::en = "",
Sandbox_CDDA_CanBullets::en = "",
Sandbox_CDDA_CanBullets_tooltip::en = "",
Sandbox_CDDA_CanBurner::en = "",
Sandbox_CDDA_CanChild::en = "",
Sandbox_CDDA_CanDecayed::en = "",
Sandbox_CDDA_CanFire::en = "",
Sandbox_CDDA_CanGrab::en = "",
Sandbox_CDDA_CanHulk::en = "",
Sandbox_CDDA_CanNightmare::en = "",
Sandbox_CDDA_CanOpenDoor::en = "",
Sandbox_CDDA_CanRadioactif::en = "",
Sandbox_CDDA_CanRadioactif2::en = "",
Sandbox_CDDA_CanRevive::en = "",
Sandbox_CDDA_CanScreach::en = "",
Sandbox_CDDA_CanScream::en = "",
Sandbox_CDDA_CanShock::en = "",
Sandbox_CDDA_CanShock2::en = "",
Sandbox_CDDA_ChangeOutfits::en = "",
Sandbox_CDDA_ChangeOutfits_tooltip::en = "",
Sandbox_CDDA_ChildSpawn::en = "",
Sandbox_CDDA_CopSpawn::en = "",
Sandbox_CDDA_CrawlerZ::en = "Crawler Z Spawn Rate",
Sandbox_CDDA_CrawlerZ::zh-hans::processed::unverified = "爬行丧尸生成率",
Sandbox_CDDA_CrawlerZ_tooltip::en = "Speed: Very Low HP: Normal",
Sandbox_CDDA_CrawlerZ_tooltip::zh-hans::processed::unverified = "速度：爬行，血量：普通",
Sandbox_CDDA_DecayedZ::en = "Decayed Z Spawn Rate",
Sandbox_CDDA_DecayedZ::zh-hans::processed::unverified = "腐朽丧尸生成率",
Sandbox_CDDA_DecayedZ_tooltip::en = "Speed: Slow HP: Normal",
Sandbox_CDDA_DecayedZ_tooltip::zh-hans::processed::unverified = "速度：蹒跚，血量：普通",
Sandbox_CDDA_EnablePerkCDDA::en = "",
Sandbox_CDDA_EnablePerkCDDA_tooltip::en = "",
Sandbox_CDDA_EnumBrute::en = "",
Sandbox_CDDA_EnumPush::en = "",
Sandbox_CDDA_EvoFactor::en = "Zombie evolve factor",
Sandbox_CDDA_EvoFactor::zh-hans::processed::unverified = "丧尸进化速率",
Sandbox_CDDA_EvoFactor_tooltip::en = "The bigger this value is set, the faster zombies will evolve, set this to 0 for no evolving",
Sandbox_CDDA_EvoFactor_tooltip::zh-hans::processed::unverified = "数字越大进化越快，0则不进化",
Sandbox_CDDA_FatZ::en = "Fat Z Spawn Rate",
Sandbox_CDDA_FatZ::zh-hans::processed::unverified = "肥胖丧尸生成率",
Sandbox_CDDA_FatZ_tooltip::en = "Speed: Slow HP: High",
Sandbox_CDDA_FatZ_tooltip::zh-hans::processed::unverified = "速度：蹒跚，血量：较高",
Sandbox_CDDA_FireFighterSpawn::en = "",
Sandbox_CDDA_GrabberZ::en = "Grabber Z Spawn Rate",
Sandbox_CDDA_GrabberZ::zh-hans::processed::unverified = "肉钩丧尸生成率",
Sandbox_CDDA_GrabberZ_tooltip::en = "Speed: Normal HP: Normal (Can grab player)",
Sandbox_CDDA_GrabberZ_tooltip::zh-hans::processed::unverified = "速度：行走，血量：普通 (能够抓住玩家)",
Sandbox_CDDA_HPBonus::en = "",
Sandbox_CDDA_HPBonus_tooltip::en = "",
Sandbox_CDDA_HazmatSpawn::en = "",
Sandbox_CDDA_HulkSpawn::en = "",
Sandbox_CDDA_JuggernautSpawn::en = "",
Sandbox_CDDA_KeepStand::en = "",
Sandbox_CDDA_KeepStandBiter::en = "",
Sandbox_CDDA_KeepStandBoomer::en = "",
Sandbox_CDDA_KeepStandBrute::en = "",
Sandbox_CDDA_KeepStandBurner::en = "",
Sandbox_CDDA_KeepStandChild::en = "",
Sandbox_CDDA_KeepStandCop::en = "",
Sandbox_CDDA_KeepStandCrawler::en = "",
Sandbox_CDDA_KeepStandDecayed::en = "",
Sandbox_CDDA_KeepStandFat::en = "",
Sandbox_CDDA_KeepStandFeral::en = "",
Sandbox_CDDA_KeepStandFeralSkeleton::en = "",
Sandbox_CDDA_KeepStandFireFighter::en = "",
Sandbox_CDDA_KeepStandGrabber::en = "",
Sandbox_CDDA_KeepStandHazmat::en = "",
Sandbox_CDDA_KeepStandHulk::en = "",
Sandbox_CDDA_KeepStandJuggernut::en = "",
Sandbox_CDDA_KeepStandListener::en = "",
Sandbox_CDDA_KeepStandMaster::en = "",
Sandbox_CDDA_KeepStandNecromancer::en = "",
Sandbox_CDDA_KeepStandNightmare::en = "",
Sandbox_CDDA_KeepStandNormal::en = "",
Sandbox_CDDA_KeepStandObese::en = "",
Sandbox_CDDA_KeepStandPredator::en = "",
Sandbox_CDDA_KeepStandSWAT::en = "",
Sandbox_CDDA_KeepStandScreamer::en = "",
Sandbox_CDDA_KeepStandScreecher::en = "",
Sandbox_CDDA_KeepStandSheriff::en = "",
Sandbox_CDDA_KeepStandShocker::en = "",
Sandbox_CDDA_KeepStandShockerBeast::en = "",
Sandbox_CDDA_KeepStandSkeletalJuggernut::en = "",
Sandbox_CDDA_KeepStandSkeleton::en = "",
Sandbox_CDDA_KeepStandSoldier::en = "",
Sandbox_CDDA_KeepStandSurvivor::en = "",
Sandbox_CDDA_KeepStandTough::en = "",
Sandbox_CDDA_KeepStandWresller::en = "",
Sandbox_CDDA_KeepStand_tooltip::en = "",
Sandbox_CDDA_ListenerZ::en = "Listener Z Spawn Rate",
Sandbox_CDDA_ListenerZ::zh-hans::processed::unverified = "循声者丧尸生成率",
Sandbox_CDDA_ListenerZ_tooltip::en = "Speed: Normal HP: Normal (Poor sight but sensitive ears)",
Sandbox_CDDA_ListenerZ_tooltip::zh-hans::processed::unverified = "速度: 行走, 血量: 普通, 视觉: 较差, 听觉: 灵敏",
Sandbox_CDDA_MasterZ::en = "Master Z Spawn Rate",
Sandbox_CDDA_MasterZ::zh-hans::processed::unverified = "主宰丧尸生成率",
Sandbox_CDDA_MasterZ_tooltip::en = "Speed: Slow HP: Normal (Can evolve nearby zombies)",
Sandbox_CDDA_MasterZ_tooltip::zh-hans::processed::unverified = "速度: 蹒跚, 血量: 普通 (能够进化附近的丧尸)",
Sandbox_CDDA_NameTag::en = "",
Sandbox_CDDA_NameTag_tooltip::en = "",
Sandbox_CDDA_NecromancerZ::en = "",
Sandbox_CDDA_NecromancerZ_tooltip::en = "",
Sandbox_CDDA_Nightmare::en = "",
Sandbox_CDDA_Nightmare_tooltip::en = "",
Sandbox_CDDA_NoBrute::en = "",
Sandbox_CDDA_NoBrute_tooltip::en = "",
Sandbox_CDDA_NormalZ::en = "Normal Z Spawn Rate",
Sandbox_CDDA_NormalZ::zh-hans::processed::unverified = "普通丧尸生成率",
Sandbox_CDDA_NormalZ_tooltip::en = "Speed: Normal HP: Normal",
Sandbox_CDDA_NormalZ_tooltip::zh-hans::processed::unverified = "速度: 行走, 血量: 普通",
Sandbox_CDDA_ObeseSpawn::en = "",
Sandbox_CDDA_OutfitZ::en = "Spawn zombies based on outfits",
Sandbox_CDDA_OutfitZ::zh-hans::processed::unverified = "基于着装生成特定丧尸",
Sandbox_CDDA_OutfitZ_tooltip::en = "Create zombie types with specific outfits (e.g. Cop, Firefighter, Soldier, Hazmat and Child)",
Sandbox_CDDA_OutfitZ_tooltip::zh-hans::processed::unverified = "是否生成特殊着装丧尸, 如: 警察, 消防员, 士兵, 防化服, 儿童",
Sandbox_CDDA_Predator::en = "",
Sandbox_CDDA_PredatorScream::en = "",
Sandbox_CDDA_PredatorSpawn::en = "",
Sandbox_CDDA_RunnerZ::en = "Feral Z Spawn Rate",
Sandbox_CDDA_RunnerZ::zh-hans::processed::unverified = "野性追猎者生成率",
Sandbox_CDDA_RunnerZ_tooltip::en = "Speed: Fast, HP: Normal",
Sandbox_CDDA_RunnerZ_tooltip::zh-hans::processed::unverified = "速度: 奔跑, 血量: 普通",
Sandbox_CDDA_SandBox::en = "Override sandbox settings for zombies",
Sandbox_CDDA_SandBox::zh-hans::processed::unverified = "覆盖沙盒模式丧尸设定",
Sandbox_CDDA_SandBox_tooltip::en = "Force to use CDDA default zombie settings, if canceled, sandbox settings for zombies will be used (Some kind of zombies will disappear!)",
Sandbox_CDDA_SandBox_tooltip::zh-hans::processed::unverified = "强制采用CDDA的丧尸设定, 若取消, 游戏会尽量应用沙盒模式设定, 但部分丧尸会无法出现",
Sandbox_CDDA_ScreamerZ::en = "Shrieker Z Spawn Rate",
Sandbox_CDDA_ScreamerZ::zh-hans::processed::unverified = "尖叫丧尸生成率",
Sandbox_CDDA_ScreamerZ_tooltip::en = "Speed: Normal HP: Normal (Can scream when following target)",
Sandbox_CDDA_ScreamerZ_tooltip::zh-hans::processed::unverified = "速度: 行走, 血量: 普通 (在追击玩家时会发出尖叫)",
Sandbox_CDDA_ScreecherZ::en = "Shocker Z Spawn Rate",
Sandbox_CDDA_ScreecherZ::zh-hans::processed::unverified = "尖啸丧尸生成率",
Sandbox_CDDA_ScreecherZ_tooltip::en = "Speed: Normal HP: Normal (Can scream louder and cause panic)",
Sandbox_CDDA_ScreecherZ_tooltip::zh-hans::processed::unverified = "速度: 行走, 血量: 普通 (在追击玩家时会发出更大声的尖叫)",
Sandbox_CDDA_SheriffSpawn::en = "",
Sandbox_CDDA_ShockerBeast::en = "",
Sandbox_CDDA_ShockerBeast_tooltip::en = "",
Sandbox_CDDA_ShockerZ::en = "Shocker Z Spawn Rate",
Sandbox_CDDA_ShockerZ::zh-hans::processed::unverified = "放电丧尸生成率",
Sandbox_CDDA_ShockerZ_tooltip::en = "Speed: Normal HP: Normal (Can attack player in a distance by electric shock)",
Sandbox_CDDA_ShockerZ_tooltip::zh-hans::processed::unverified = "能够在远距离电击玩家的丧尸",
Sandbox_CDDA_Sickness::en = "",
Sandbox_CDDA_Sickness_tooltip::en = "",
Sandbox_CDDA_SkeletalJuggernautSpawn::en = "",
Sandbox_CDDA_SkeletonRunnerZ::en = "Skeleton Feral Spawn Rate",
Sandbox_CDDA_SkeletonRunnerZ::zh-hans::processed::unverified = "骷髅追猎者生成率",
Sandbox_CDDA_SkeletonRunnerZ_tooltip::en = "Speed: Fast HP: Low",
Sandbox_CDDA_SkeletonRunnerZ_tooltip::zh-hans::processed::unverified = "速度: 奔跑, 血量: 低",
Sandbox_CDDA_SkeletonZ::en = "Skeleton Spawn Rate",
Sandbox_CDDA_SkeletonZ::zh-hans::processed::unverified = "骷髅生成率",
Sandbox_CDDA_SkeletonZ _tooltip::en = "Speed: Normal HP: Low",
Sandbox_CDDA_SkeletonZ _tooltip::zh-hans::processed::unverified = "速度: 行走, 血量: 低",
Sandbox_CDDA_SkeletonZ_tooltip::en = "",
Sandbox_CDDA_SoldierSpawn::en = "",
Sandbox_CDDA_StrongZ::en = "Tough Z Spawn Rate",
Sandbox_CDDA_StrongZ::zh-hans::processed::unverified = "健壮丧尸生成率",
Sandbox_CDDA_StrongZ_tooltip::en = "Speed: Normal HP: High",
Sandbox_CDDA_StrongZ_tooltip::zh-hans::processed::unverified = "速度: 行走, 血量: 较高, 无法推倒",
Sandbox_CDDA_SurvivorSpawn::en = "",
Sandbox_CDDA_SurvivorZ::en = "Survivor Z Spawn Rate",
Sandbox_CDDA_SurvivorZ::zh-hans::processed::unverified = "幸存者丧尸生成率",
Sandbox_CDDA_SurvivorZ_tooltip::en = "Speed: Normal HP: Normal (High cognition)",
Sandbox_CDDA_SurvivorZ_tooltip::zh-hans::processed::unverified = "速度: 行走, 血量: 普通, 感知: 寻路+开门",
Sandbox_CDDA_SwatSpawn::en = "",
Sandbox_CDDA_ToughZ::en = "",
Sandbox_CDDA_ToughZ_tooltip::en = "",
Sandbox_CDDA_UpdateZombieTag::en = "",
Sandbox_CDDA_UpdateZombieTag_tooltip::en = "",
Sandbox_CDDA_WitchZ::en = "Necromancer Z Spawn Rate",
Sandbox_CDDA_WitchZ::zh-hans::processed::unverified = "死灵法尸生成率",
Sandbox_CDDA_WitchZ_tooltip::en = "Speed: Slow HP: Normal (Can reanimate nearby corpses)",
Sandbox_CDDA_WitchZ_tooltip::zh-hans::processed::unverified = "Speed: Slow HP: Normal (Can reanimate nearby corpses)",
Sandbox_CDDA_WrestlerZ::en = "Wrestler Z Spawn Rate",
Sandbox_CDDA_WrestlerZ::zh-hans::processed::unverified = "摔跤手丧尸生成率",
Sandbox_CDDA_WrestlerZ_tooltip::en = "Speed: Normal HP: Hign (Can push player when attacking)",
Sandbox_CDDA_WrestlerZ_tooltip::zh-hans::processed::unverified = "Speed: Normal HP: High (Can push player when attacking)",
Sandbox_CDDA_ZombieForAll::en = "",
Sandbox_CDDA_ZombieForAll_tooltip::en = "",
Sandbox_CDDA_Zombies::en = "CDDA Zombies' Spawn Rate",
Sandbox_CDDA_Zombies::zh-hans::processed::unverified = "CDDA丧尸生成率",
Sandbox_CDDA_ZombiesFunc::en = "",
Sandbox_CDDA_ZombiesFunc2::en = "",
Sandbox_CDDA_ZombiesFunc3::en = "",
Sandbox_CDDA_ZombiesFunc4::en = "",
Sandbox_CDDA_ZombiesFunc5::en = "",
Sandbox_CDDA_ZombiesFunc6::en = "",
Sandbox_CDDA_sandBoxOptionMOMAAverage::en = "",
Sandbox_CDDA_sandBoxOptionMOMAAverageMaxDamage::en = "",
Sandbox_CDDA_sandBoxOptionMOMAAverageMinDamage::en = "",
Sandbox_CDDA_sandBoxOptionMOMACanHurt::en = "",
Sandbox_CDDA_sandBoxOptionMOMACanHurt_tooltip::en = "",
Sandbox_CDDA_sandBoxOptionMOMACanSay::en = "",
Sandbox_CDDA_sandBoxOptionMOMACanSay_tooltip::en = "",
Sandbox_CDDA_sandBoxOptionMOMADoor::en = "",
Sandbox_CDDA_sandBoxOptionMOMAMaxDamage::en = "",
Sandbox_CDDA_sandBoxOptionMOMAMinDamage::en = "",
Sandbox_CDDA_sandBoxOptionMOMATree::en = "",
UI_trait_CDDA::en = "",
UI_trait_CDDAGained::en = "",
UI_trait_CDDARadioactive::en = "",
UI_trait_CDDAdesc::en = "",
