##Sandbox_CDDA_KeepStandBrute_tooltip::en = "",
##Sandbox_CDDA_KeepStandBrute_tooltip::ja::processed::unverified = "",
##Sandbox_CDDA_KeepStandHulk_tooltip::en = "",
##Sandbox_CDDA_KeepStandHulk_tooltip::ja::processed::unverified = "",
##Sandbox_CDDA_KeepStandSheriff_tooltip::en = "",
##Sandbox_CDDA_KeepStandSheriff_tooltip::ja::processed::unverified = "",
##Sandbox_CDDA_KeepStandShockerBeast_tooltip::en = "",
##Sandbox_CDDA_KeepStandShockerBeast_tooltip::ja::processed::unverified = "",
##Sandbox_CDDA_KeepStandWresller_tooltip::en = "",
##Sandbox_CDDA_KeepStandWresller_tooltip::ja::processed::unverified = "",
IGUI_CDDA_HeightOffset1::ja::processed::unverified = "3↑",
IGUI_CDDA_HeightOffset2::en = "2↑",
IGUI_CDDA_HeightOffset2::ja::processed::unverified = "2↑",
IGUI_CDDA_HeightOffset3::en = "1↑",
IGUI_CDDA_HeightOffset3::ja::processed::unverified = "1↑",
IGUI_CDDA_HeightOffset4::en = "0",
IGUI_CDDA_HeightOffset4::ja::processed::unverified = "0",
IGUI_CDDA_HeightOffset5::en = "1↓",
IGUI_CDDA_HeightOffset5::ja::processed::unverified = "1↓",
IGUI_CDDA_HeightOffset6::en = "2↓",
IGUI_CDDA_HeightOffset6::ja::processed::unverified = "2↓",
IGUI_CDDA_HeightOffset7::en = "3↓",
IGUI_CDDA_HeightOffset7::ja::processed::unverified = "3↓",
IGUI_CDDA_HeightOffset_Tooltip::en = "Set the position of Zombies' NameTag precisely",
IGUI_CDDA_HeightOffset_Tooltip::ja::processed::unverified = "ゾンビの名前タグの位置を正確に設定",
IGUI_CDDA_HulkZ::en = "",
IGUI_CDDA_HulkZ::ja::processed::unverified = "",
IGUI_CDDA_JuggernautZ::en = "",
IGUI_CDDA_JuggernautZ::ja::processed::unverified = "",
IGUI_CDDA_ListenerZ::en = "Listener Z",
IGUI_CDDA_ListenerZ::ja::processed::unverified = "リスナーZ",
IGUI_CDDA_MasterZ::en = "Master Z",
IGUI_CDDA_MasterZ::ja::processed::unverified = "マスターZ",
IGUI_CDDA_NameTag::en = "Show Zombie Type",
IGUI_CDDA_NameTag::ja::processed::unverified = "ゾンビの種類を表示",
IGUI_CDDA_NameTag_Tooltip::en = "Show the type of zombie that player is aiming at",
IGUI_CDDA_NameTag_Tooltip::ja::processed::unverified = "プレイヤーがエイムしているゾンビの種類を表示",
IGUI_CDDA_NightmareZ::en = "",
IGUI_CDDA_NightmareZ::ja::processed::unverified = "",
IGUI_CDDA_NormalZ::en = "Zombie",
IGUI_CDDA_NormalZ::ja::processed::unverified = "ゾンビ",
IGUI_CDDA_ObeseZ::en = "",
IGUI_CDDA_ObeseZ::ja::processed::unverified = "",
IGUI_CDDA_PredatorZ::en = "",
IGUI_CDDA_PredatorZ::ja::processed::unverified = "",
IGUI_CDDA_RunnerZ::en = "Feral Z",
IGUI_CDDA_RunnerZ::ja::processed::unverified = "フェラルZ",
IGUI_CDDA_ScreamerZ::en = "Shrieker Z",
IGUI_CDDA_ScreamerZ::ja::processed::unverified = "シュリーカーZ",
IGUI_CDDA_ScreecherZ::en = "Screecher Z",
IGUI_CDDA_ScreecherZ::ja::processed::unverified = "スクリーチャーZ",
IGUI_CDDA_ShockerBeastZ::en = "",
IGUI_CDDA_ShockerBeastZ::ja::processed::unverified = "",
IGUI_CDDA_ShockerZ::en = "Shocker Z",
IGUI_CDDA_ShockerZ::ja::processed::unverified = "ショッカーZ",
IGUI_CDDA_SkeletalJuggernautZ::en = "",
IGUI_CDDA_SkeletalJuggernautZ::ja::processed::unverified = "",
IGUI_CDDA_SkeletonRunnerZ::en = "Skeleton Feral",
IGUI_CDDA_SkeletonRunnerZ::ja::processed::unverified = "スケルトンフェラル",
IGUI_CDDA_SkeletonZ::en = "Skeleton",
IGUI_CDDA_SkeletonZ::ja::processed::unverified = "スケルトン",
IGUI_CDDA_SoldierZ::en = "Soldier Z",
IGUI_CDDA_SoldierZ::ja::processed::unverified = "ソルジャーZ",
IGUI_CDDA_StrongZ::en = "Tough Z",
IGUI_CDDA_StrongZ::ja::processed::unverified = "タフZ",
IGUI_CDDA_SurvivorZ::en = "Survivor Z",
IGUI_CDDA_SurvivorZ::ja::processed::unverified = "サバイバーZ",
IGUI_CDDA_TextHeight::en = "NameTag Height",
IGUI_CDDA_TextHeight::ja::processed::unverified = "ネームタグの高さ",
IGUI_CDDA_TextHeight1::en = "Overhead",
IGUI_CDDA_TextHeight1::ja::processed::unverified = "頭上",
IGUI_CDDA_TextHeight2::en = "On Body",
IGUI_CDDA_TextHeight2::ja::processed::unverified = "身体上",
IGUI_CDDA_TextHeight3::en = "Underfoot",
IGUI_CDDA_TextHeight3::ja::processed::unverified = "足元",
IGUI_CDDA_TextHeight_Tooltip::en = "Set the height of Zombies' NameTag",
IGUI_CDDA_TextHeight_Tooltip::ja::processed::unverified = "ゾンビのネームタグの高さを設定",
IGUI_CDDA_ToughZ::en = "",
IGUI_CDDA_ToughZ::ja::processed::unverified = "",
IGUI_CDDA_UIAIM::en = "",
IGUI_CDDA_UIAIM::ja::processed::unverified = "",
IGUI_CDDA_UIAIM_Tooltip::en = "",
IGUI_CDDA_UIAIM_Tooltip::ja::processed::unverified = "",
IGUI_CDDA_UIFONT::en = "",
IGUI_CDDA_UIFONT::ja::processed::unverified = "",
IGUI_CDDA_UIFONT1::en = "",
IGUI_CDDA_UIFONT1::ja::processed::unverified = "",
IGUI_CDDA_UIFONT10::en = "",
IGUI_CDDA_UIFONT10::ja::processed::unverified = "",
IGUI_CDDA_UIFONT11::en = "",
IGUI_CDDA_UIFONT11::ja::processed::unverified = "",
IGUI_CDDA_UIFONT12::en = "",
IGUI_CDDA_UIFONT12::ja::processed::unverified = "",
IGUI_CDDA_UIFONT13::en = "",
IGUI_CDDA_UIFONT13::ja::processed::unverified = "",
IGUI_CDDA_UIFONT14::en = "",
IGUI_CDDA_UIFONT14::ja::processed::unverified = "",
IGUI_CDDA_UIFONT15::en = "",
IGUI_CDDA_UIFONT15::ja::processed::unverified = "",
IGUI_CDDA_UIFONT16::en = "",
IGUI_CDDA_UIFONT16::ja::processed::unverified = "",
IGUI_CDDA_UIFONT17::en = "",
IGUI_CDDA_UIFONT17::ja::processed::unverified = "",
IGUI_CDDA_UIFONT18::en = "",
IGUI_CDDA_UIFONT18::ja::processed::unverified = "",
IGUI_CDDA_UIFONT19::en = "",
IGUI_CDDA_UIFONT19::ja::processed::unverified = "",
IGUI_CDDA_UIFONT2::en = "",
IGUI_CDDA_UIFONT2::ja::processed::unverified = "",
IGUI_CDDA_UIFONT20::en = "",
IGUI_CDDA_UIFONT20::ja::processed::unverified = "",
IGUI_CDDA_UIFONT21::en = "",
IGUI_CDDA_UIFONT21::ja::processed::unverified = "",
IGUI_CDDA_UIFONT3::en = "",
IGUI_CDDA_UIFONT3::ja::processed::unverified = "",
IGUI_CDDA_UIFONT4::en = "",
IGUI_CDDA_UIFONT4::ja::processed::unverified = "",
IGUI_CDDA_UIFONT5::en = "",
IGUI_CDDA_UIFONT5::ja::processed::unverified = "",
IGUI_CDDA_UIFONT6::en = "",
IGUI_CDDA_UIFONT6::ja::processed::unverified = "",
IGUI_CDDA_UIFONT7::en = "",
IGUI_CDDA_UIFONT7::ja::processed::unverified = "",
IGUI_CDDA_UIFONT8::en = "",
IGUI_CDDA_UIFONT8::ja::processed::unverified = "",
IGUI_CDDA_UIFONT9::en = "",
IGUI_CDDA_UIFONT9::ja::processed::unverified = "",
IGUI_CDDA_UIFONT_Tooltip::en = "",
IGUI_CDDA_UIFONT_Tooltip::ja::processed::unverified = "",
IGUI_CDDA_UITIMER::en = "",
IGUI_CDDA_UITIMER::ja::processed::unverified = "",
IGUI_CDDA_UITIMER1::en = "",
IGUI_CDDA_UITIMER1::ja::processed::unverified = "",
IGUI_CDDA_UITIMER10::en = "",
IGUI_CDDA_UITIMER10::ja::processed::unverified = "",
IGUI_CDDA_UITIMER11::en = "",
IGUI_CDDA_UITIMER11::ja::processed::unverified = "",
IGUI_CDDA_UITIMER12::en = "",
IGUI_CDDA_UITIMER12::ja::processed::unverified = "",
IGUI_CDDA_UITIMER13::en = "",
IGUI_CDDA_UITIMER13::ja::processed::unverified = "",
IGUI_CDDA_UITIMER14::en = "",
IGUI_CDDA_UITIMER14::ja::processed::unverified = "",
IGUI_CDDA_UITIMER15::en = "",
IGUI_CDDA_UITIMER15::ja::processed::unverified = "",
IGUI_CDDA_UITIMER16::en = "",
IGUI_CDDA_UITIMER16::ja::processed::unverified = "",
IGUI_CDDA_UITIMER17::en = "",
IGUI_CDDA_UITIMER17::ja::processed::unverified = "",
IGUI_CDDA_UITIMER18::en = "",
IGUI_CDDA_UITIMER18::ja::processed::unverified = "",
IGUI_CDDA_UITIMER19::en = "",
IGUI_CDDA_UITIMER19::ja::processed::unverified = "",
IGUI_CDDA_UITIMER2::en = "",
IGUI_CDDA_UITIMER2::ja::processed::unverified = "",
IGUI_CDDA_UITIMER20::en = "",
IGUI_CDDA_UITIMER20::ja::processed::unverified = "",
IGUI_CDDA_UITIMER3::en = "",
IGUI_CDDA_UITIMER3::ja::processed::unverified = "",
IGUI_CDDA_UITIMER4::en = "",
IGUI_CDDA_UITIMER4::ja::processed::unverified = "",
IGUI_CDDA_UITIMER5::en = "",
IGUI_CDDA_UITIMER5::ja::processed::unverified = "",
IGUI_CDDA_UITIMER6::en = "",
IGUI_CDDA_UITIMER6::ja::processed::unverified = "",
IGUI_CDDA_UITIMER7::en = "",
IGUI_CDDA_UITIMER7::ja::processed::unverified = "",
IGUI_CDDA_UITIMER8::en = "",
IGUI_CDDA_UITIMER8::ja::processed::unverified = "",
IGUI_CDDA_UITIMER9::en = "",
IGUI_CDDA_UITIMER9::ja::processed::unverified = "",
IGUI_CDDA_UITIMER_Tooltip::en = "",
IGUI_CDDA_UITIMER_Tooltip::ja::processed::unverified = "",
IGUI_CDDA_WitchZ::en = "Necromancer Z",
IGUI_CDDA_WitchZ::ja::processed::unverified = "ネクロマンサーZ",
IGUI_CDDA_WrestlerZ::en = "Wrestler Z",
IGUI_CDDA_WrestlerZ::ja::processed::unverified = "レスラーZ",
Sandbox_CDDA_ALERT::en = "",
Sandbox_CDDA_ALERT::ja::processed::unverified = "",
Sandbox_CDDA_ALERT_tooltip::en = "",
Sandbox_CDDA_ALERT_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_BiterZ::en = "Slavering Biter Spawn Rate",
Sandbox_CDDA_BiterZ::ja::processed::unverified = "スラバリングバイターの出現率",
Sandbox_CDDA_BiterZ_tooltip::en = "Speed: Normal HP: Normal (Can transmit zombie virus)",
Sandbox_CDDA_BiterZ_tooltip::ja::processed::unverified = "速度:普通 HP:普通 (ゾンビウイルスを感染させることができる)",
Sandbox_CDDA_BoomerZ::en = "",
Sandbox_CDDA_BoomerZ::ja::processed::unverified = "",
Sandbox_CDDA_BoomerZ_tooltip::en = "",
Sandbox_CDDA_BoomerZ_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_BruteZ::en = "Brute Z Spawn Rate",
Sandbox_CDDA_BruteZ::ja::processed::unverified = "ブルートZの出現率",
Sandbox_CDDA_BruteZ_tooltip::en = "Speed: Fast HP: Hign (Can push player when attacking)",
Sandbox_CDDA_BruteZ_tooltip::ja::processed::unverified = "速度:速い HP:高い (攻撃時にプレイヤーを押し込むことができる)",
Sandbox_CDDA_BulletImmune::en = "",
Sandbox_CDDA_BulletImmune::ja::processed::unverified = "",
Sandbox_CDDA_BulletImmune_tooltip::en = "",
Sandbox_CDDA_BulletImmune_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_Burner::en = "",
Sandbox_CDDA_Burner::ja::processed::unverified = "",
Sandbox_CDDA_Burner_tooltip::en = "",
Sandbox_CDDA_Burner_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_CDDAReqFitness::en = "",
Sandbox_CDDA_CDDAReqFitness::ja::processed::unverified = "",
Sandbox_CDDA_CDDAReqFitness_tooltip::en = "",
Sandbox_CDDA_CDDAReqFitness_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_CDDAReqNimble::en = "",
Sandbox_CDDA_CDDAReqNimble::ja::processed::unverified = "",
Sandbox_CDDA_CDDAReqNimble_tooltip::en = "",
Sandbox_CDDA_CDDAReqNimble_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_CDDAReqShortBlunt::en = "",
Sandbox_CDDA_CDDAReqShortBlunt::ja::processed::unverified = "",
Sandbox_CDDA_CDDAReqShortBlunt_tooltip::en = "",
Sandbox_CDDA_CDDAReqShortBlunt_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_CDDAReqStrength::en = "",
Sandbox_CDDA_CDDAReqStrength::ja::processed::unverified = "",
Sandbox_CDDA_CDDAReqStrength_tooltip::en = "",
Sandbox_CDDA_CDDAReqStrength_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_CDDATraitKills::en = "",
Sandbox_CDDA_CDDATraitKills::ja::processed::unverified = "",
Sandbox_CDDA_CDDATraitKills_tooltip::en = "",
Sandbox_CDDA_CDDATraitKills_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_CDDA_CanBullets_option1::en = "",
Sandbox_CDDA_CDDA_CanBullets_option1::ja::processed::unverified = "",
Sandbox_CDDA_CDDA_CanBullets_option2::en = "",
Sandbox_CDDA_CDDA_CanBullets_option2::ja::processed::unverified = "",
Sandbox_CDDA_CDDA_CanBullets_option3::en = "",
Sandbox_CDDA_CDDA_CanBullets_option3::ja::processed::unverified = "",
Sandbox_CDDA_CDDA_EnumBrute_option1::en = "",
Sandbox_CDDA_CDDA_EnumBrute_option1::ja::processed::unverified = "",
Sandbox_CDDA_CDDA_EnumBrute_option2::en = "",
Sandbox_CDDA_CDDA_EnumBrute_option2::ja::processed::unverified = "",
Sandbox_CDDA_CDDA_EnumBrute_option3::en = "",
Sandbox_CDDA_CDDA_EnumBrute_option3::ja::processed::unverified = "",
Sandbox_CDDA_CDDA_EnumPush_option1::en = "",
Sandbox_CDDA_CDDA_EnumPush_option1::ja::processed::unverified = "",
Sandbox_CDDA_CDDA_EnumPush_option2::en = "",
Sandbox_CDDA_CDDA_EnumPush_option2::ja::processed::unverified = "",
Sandbox_CDDA_CDDA_EnumPush_option3::en = "",
Sandbox_CDDA_CDDA_EnumPush_option3::ja::processed::unverified = "",
Sandbox_CDDA_CanBite::en = "",
Sandbox_CDDA_CanBite::ja::processed::unverified = "",
Sandbox_CDDA_CanBoomer::en = "",
Sandbox_CDDA_CanBoomer::ja::processed::unverified = "",
Sandbox_CDDA_CanBoomer2::en = "",
Sandbox_CDDA_CanBoomer2::ja::processed::unverified = "",
Sandbox_CDDA_CanBullets::en = "",
Sandbox_CDDA_CanBullets::ja::processed::unverified = "",
Sandbox_CDDA_CanBullets_tooltip::en = "",
Sandbox_CDDA_CanBullets_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_CanBurner::en = "",
Sandbox_CDDA_CanBurner::ja::processed::unverified = "",
Sandbox_CDDA_CanChild::en = "",
Sandbox_CDDA_CanChild::ja::processed::unverified = "",
Sandbox_CDDA_CanDecayed::en = "",
Sandbox_CDDA_CanDecayed::ja::processed::unverified = "",
Sandbox_CDDA_CanFire::en = "",
Sandbox_CDDA_CanFire::ja::processed::unverified = "",
Sandbox_CDDA_CanGrab::en = "",
Sandbox_CDDA_CanGrab::ja::processed::unverified = "",
Sandbox_CDDA_CanHulk::en = "",
Sandbox_CDDA_CanHulk::ja::processed::unverified = "",
Sandbox_CDDA_CanNightmare::en = "",
Sandbox_CDDA_CanNightmare::ja::processed::unverified = "",
Sandbox_CDDA_CanOpenDoor::en = "",
Sandbox_CDDA_CanOpenDoor::ja::processed::unverified = "",
Sandbox_CDDA_CanRadioactif::en = "",
Sandbox_CDDA_CanRadioactif::ja::processed::unverified = "",
Sandbox_CDDA_CanRadioactif2::en = "",
Sandbox_CDDA_CanRadioactif2::ja::processed::unverified = "",
Sandbox_CDDA_CanRevive::en = "",
Sandbox_CDDA_CanRevive::ja::processed::unverified = "",
Sandbox_CDDA_CanScreach::en = "",
Sandbox_CDDA_CanScreach::ja::processed::unverified = "",
Sandbox_CDDA_CanScream::en = "",
Sandbox_CDDA_CanScream::ja::processed::unverified = "",
Sandbox_CDDA_CanShock::en = "",
Sandbox_CDDA_CanShock::ja::processed::unverified = "",
Sandbox_CDDA_CanShock2::en = "",
Sandbox_CDDA_CanShock2::ja::processed::unverified = "",
Sandbox_CDDA_ChangeOutfits::en = "",
Sandbox_CDDA_ChangeOutfits::ja::processed::unverified = "",
Sandbox_CDDA_ChangeOutfits_tooltip::en = "",
Sandbox_CDDA_ChangeOutfits_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_ChildSpawn::en = "",
Sandbox_CDDA_ChildSpawn::ja::processed::unverified = "",
Sandbox_CDDA_CopSpawn::en = "",
Sandbox_CDDA_CopSpawn::ja::processed::unverified = "",
Sandbox_CDDA_CrawlerZ::en = "Crawler Z Spawn Rate",
Sandbox_CDDA_CrawlerZ::ja::processed::unverified = "Crawler Z 出現率",
Sandbox_CDDA_CrawlerZ_tooltip::en = "Speed: Very Low HP: Normal",
Sandbox_CDDA_CrawlerZ_tooltip::ja::processed::unverified = "速度: 非常に遅い HP: 普通",
Sandbox_CDDA_DecayedZ::en = "Decayed Z Spawn Rate",
Sandbox_CDDA_DecayedZ::ja::processed::unverified = "Decayed Z 出現率",
Sandbox_CDDA_DecayedZ_tooltip::en = "Speed: Slow HP: Normal",
Sandbox_CDDA_DecayedZ_tooltip::ja::processed::unverified = "速度: 遅い HP: 普通",
Sandbox_CDDA_EnablePerkCDDA::en = "",
Sandbox_CDDA_EnablePerkCDDA::ja::processed::unverified = "",
Sandbox_CDDA_EnablePerkCDDA_tooltip::en = "",
Sandbox_CDDA_EnablePerkCDDA_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_EnumBrute::en = "",
Sandbox_CDDA_EnumBrute::ja::processed::unverified = "",
Sandbox_CDDA_EnumPush::en = "",
Sandbox_CDDA_EnumPush::ja::processed::unverified = "",
Sandbox_CDDA_EvoFactor::en = "Zombie evolve factor",
Sandbox_CDDA_EvoFactor::ja::processed::unverified = "ゾンビ進化係数",
Sandbox_CDDA_EvoFactor_tooltip::en = "The bigger this value is set, the faster zombies will evolve, set this to 0 for no evolving",
Sandbox_CDDA_EvoFactor_tooltip::ja::processed::unverified = "この値を大きく設定するほど、ゾンビはより速く進化します。0に設定すると進化しなくなります。",
Sandbox_CDDA_FatZ::en = "Fat Z Spawn Rate",
Sandbox_CDDA_FatZ::ja::processed::unverified = "Fat Z 出現率",
Sandbox_CDDA_FatZ_tooltip::en = "Speed: Slow HP: High",
Sandbox_CDDA_FatZ_tooltip::ja::processed::unverified = "速度: 遅い HP: 高い",
Sandbox_CDDA_FireFighterSpawn::en = "",
Sandbox_CDDA_FireFighterSpawn::ja::processed::unverified = "",
Sandbox_CDDA_GrabberZ::en = "Grabber Z Spawn Rate",
Sandbox_CDDA_GrabberZ::ja::processed::unverified = "Grabber Z 出現率",
Sandbox_CDDA_GrabberZ_tooltip::en = "Speed: Normal HP: Normal (Can grab player)",
Sandbox_CDDA_GrabberZ_tooltip::ja::processed::unverified = "速度: 普通 HP: 普通 (プレイヤーをつかむことができます)",
Sandbox_CDDA_HPBonus::en = "",
Sandbox_CDDA_HPBonus::ja::processed::unverified = "",
Sandbox_CDDA_HPBonus_tooltip::en = "",
Sandbox_CDDA_HPBonus_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_HazmatSpawn::en = "",
Sandbox_CDDA_HazmatSpawn::ja::processed::unverified = "",
Sandbox_CDDA_HulkSpawn::en = "",
Sandbox_CDDA_HulkSpawn::ja::processed::unverified = "",
Sandbox_CDDA_JuggernautSpawn::en = "",
Sandbox_CDDA_JuggernautSpawn::ja::processed::unverified = "",
Sandbox_CDDA_KeepStand::en = "",
Sandbox_CDDA_KeepStand::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandBiter::en = "",
Sandbox_CDDA_KeepStandBiter::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandBoomer::en = "",
Sandbox_CDDA_KeepStandBoomer::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandBrute::en = "",
Sandbox_CDDA_KeepStandBrute::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandBurner::en = "",
Sandbox_CDDA_KeepStandBurner::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandChild::en = "",
Sandbox_CDDA_KeepStandChild::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandCop::en = "",
Sandbox_CDDA_KeepStandCop::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandCrawler::en = "",
Sandbox_CDDA_KeepStandCrawler::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandDecayed::en = "",
Sandbox_CDDA_KeepStandDecayed::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandFat::en = "",
Sandbox_CDDA_KeepStandFat::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandFeral::en = "",
Sandbox_CDDA_KeepStandFeral::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandFeralSkeleton::en = "",
Sandbox_CDDA_KeepStandFeralSkeleton::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandFireFighter::en = "",
Sandbox_CDDA_KeepStandFireFighter::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandGrabber::en = "",
Sandbox_CDDA_KeepStandGrabber::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandHazmat::en = "",
Sandbox_CDDA_KeepStandHazmat::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandHulk::en = "",
Sandbox_CDDA_KeepStandHulk::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandJuggernut::en = "",
Sandbox_CDDA_KeepStandJuggernut::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandListener::en = "",
Sandbox_CDDA_KeepStandListener::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandMaster::en = "",
Sandbox_CDDA_KeepStandMaster::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandNecromancer::en = "",
Sandbox_CDDA_KeepStandNecromancer::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandNightmare::en = "",
Sandbox_CDDA_KeepStandNightmare::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandNormal::en = "",
Sandbox_CDDA_KeepStandNormal::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandObese::en = "",
Sandbox_CDDA_KeepStandObese::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandPredator::en = "",
Sandbox_CDDA_KeepStandPredator::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandSWAT::en = "",
Sandbox_CDDA_KeepStandSWAT::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandScreamer::en = "",
Sandbox_CDDA_KeepStandScreamer::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandScreecher::en = "",
Sandbox_CDDA_KeepStandScreecher::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandSheriff::en = "",
Sandbox_CDDA_KeepStandSheriff::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandShocker::en = "",
Sandbox_CDDA_KeepStandShocker::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandShockerBeast::en = "",
Sandbox_CDDA_KeepStandShockerBeast::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandSkeletalJuggernut::en = "",
Sandbox_CDDA_KeepStandSkeletalJuggernut::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandSkeleton::en = "",
Sandbox_CDDA_KeepStandSkeleton::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandSoldier::en = "",
Sandbox_CDDA_KeepStandSoldier::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandSurvivor::en = "",
Sandbox_CDDA_KeepStandSurvivor::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandTough::en = "",
Sandbox_CDDA_KeepStandTough::ja::processed::unverified = "",
Sandbox_CDDA_KeepStandWresller::en = "",
Sandbox_CDDA_KeepStandWresller::ja::processed::unverified = "",
Sandbox_CDDA_KeepStand_tooltip::en = "",
Sandbox_CDDA_KeepStand_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_ListenerZ::en = "Listener Z Spawn Rate",
Sandbox_CDDA_ListenerZ::ja::processed::unverified = "Listener Zの出現率",
Sandbox_CDDA_ListenerZ_tooltip::en = "Speed: Normal HP: Normal (Poor sight but sensitive ears)",
Sandbox_CDDA_ListenerZ_tooltip::ja::processed::unverified = "速度: 通常 HP: 通常 (視力は低いが、耳が敏感)",
Sandbox_CDDA_MasterZ::en = "Master Z Spawn Rate",
Sandbox_CDDA_MasterZ::ja::processed::unverified = "Master Zの出現率",
